id v0 v1
981 695 694
982 694 692
983 690 691
984 691 712
985 694 690
986 689 691
987 705 689
988 686 687
989 687 690
990 689 688
991 688 686
992 684 685
993 685 704
994 688 684
995 680 681
996 681 692
997 693 683
998 683 682
999 682 680
1000 679 681
1001 687 679
1002 676 677
1003 677 680
1004 679 678
1005 678 676
1006 674 675
1007 675 686
1008 678 674
1009 670 671
1010 671 676
1011 677 673
1012 673 672
1013 672 670
1014 668 669
1015 669 729
1016 728 668
1017 664 665
1018 665 666
1019 666 667
1020 667 669
1021 668 664
1022 660 661
1023 661 664
1024 665 663
1025 663 662
1026 662 660
1027 656 657
1028 657 658
1029 658 659
1030 659 663
1031 662 656
1032 652 653
1033 653 656
1034 657 655
1035 655 654
1036 654 652
1037 648 649
1038 649 650
1039 650 651
1040 651 655
1041 654 648
1042 644 645
1043 645 648
1044 649 647
1045 647 646
1046 646 644
1047 640 641
1048 641 642
1049 642 643
1050 643 647
1051 646 640
1052 639 661
1053 699 639
1054 638 639
1055 698 638
1056 636 637
1057 637 660
1058 638 636
1059 635 637
1060 653 635
1061 632 633
1062 633 636
1063 635 634
1064 634 632
1065 630 631
1066 631 652
1067 634 630
1068 629 631
1069 645 629
1070 626 627
1071 627 630
1072 629 628
1073 628 626
1074 624 625
1075 625 644
1076 628 624
1077 623 633
1078 683 623
1079 622 623
1080 682 622
1081 620 621
1082 621 632
1083 622 620
1084 619 621
1085 627 619
1086 616 617
1087 617 620
1088 619 618
1089 618 616
1090 614 615
1091 615 626
1092 618 614
1093 613 617
1094 673 613
1095 612 613
1096 672 612
1097 610 611
1098 611 616
1099 612 610
1100 604 605
1101 605 606
1102 606 607
1103 607 609
1104 609 608
1105 608 604
1106 600 601
1107 601 604
1108 605 603
1109 603 602
1110 602 600
1111 596 597
1112 597 598
1113 598 599
1114 599 603
1115 602 596
1116 592 593
1117 593 596
1118 597 595
1119 595 594
1120 594 592
1121 588 589
1122 589 590
1123 590 591
1124 591 595
1125 594 588
1126 584 585
1127 585 588
1128 589 587
1129 587 586
1130 586 584
1131 580 581
1132 581 582
1133 582 583
1134 583 587
1135 586 580
1136 581 641
1137 640 580
1138 576 577
1139 577 600
1140 601 579
1141 579 578
1142 578 576
1143 575 577
1144 593 575
1145 572 573
1146 573 576
1147 575 574
1148 574 572
1149 570 571
1150 571 592
1151 574 570
1152 569 571
1153 585 569
1154 566 567
1155 567 570
1156 569 568
1157 568 566
1158 565 584
1159 625 565
1160 564 565
1161 568 564
1162 624 564
1163 560 561
1164 561 572
1165 573 563
1166 563 562
1167 562 560
1168 559 561
1169 567 559
1170 556 557
1171 557 560
1172 559 558
1173 558 556
1174 555 566
1175 615 555
1176 554 555
1177 558 554
1178 614 554
1179 551 556
1180 611 551
1181 550 551
1182 557 553
1183 553 552
1184 552 550
1185 610 550
1186 548 549
1187 549 609
1188 608 548
1189 544 545
1190 545 546
1191 546 547
1192 547 549
1193 548 544
1194 540 541
1195 541 544
1196 545 543
1197 543 542
1198 542 540
1199 536 537
1200 537 538
1201 538 539
1202 539 543
1203 542 536
1204 532 533
1205 533 536
1206 537 535
1207 535 534
1208 534 532
1209 528 529
1210 529 530
1211 530 531
1212 531 535
1213 534 528
1214 524 525
1215 525 528
1216 529 527
1217 527 526
1218 526 524
1219 520 521
1220 521 522
1221 522 523
1222 523 527
1223 526 520
1224 521 701
1225 700 520
1226 519 541
1227 579 519
1228 518 519
1229 578 518
1230 516 517
1231 517 540
1232 518 516
1233 515 517
1234 533 515
1235 512 513
1236 513 516
1237 515 514
1238 514 512
1239 510 511
1240 511 532
1241 514 510
1242 509 511
1243 525 509
1244 506 507
1245 507 510
1246 509 508
1247 508 506
1248 505 524
1249 685 505
1250 504 505
1251 508 504
1252 684 504
1253 503 513
1254 563 503
1255 502 503
1256 562 502
1257 500 501
1258 501 512
1259 502 500
1260 499 501
1261 507 499
1262 496 497
1263 497 500
1264 499 498
