id x y z
502 -0.443926 -0.0412999 -0.895111
503 -0.576487 -0.0414014 -0.816057
504 -0.0414014 -0.816057 -0.576487
505 -0.0412999 -0.895111 -0.443926
506 -0.133629 -0.635557 -0.760402
507 -0.272288 -0.535771 -0.799255
508 -0.133629 -0.760402 -0.635557
509 -0.272288 -0.799255 -0.535771
510 -0.427403 -0.56613 -0.704857
511 -0.427403 -0.704857 -0.56613
512 -0.535771 -0.272288 -0.799255
513 -0.635557 -0.133629 -0.760402
514 -0.56613 -0.427403 -0.704857
515 -0.704857 -0.427403 -0.56613
516 -0.760402 -0.133629 -0.635557
517 -0.799255 -0.272288 -0.535771
518 -0.816057 -0.0414014 -0.576487
519 -0.895111 -0.0412999 -0.443926
520 -0.0331946 -0.981871 -0.186621
521 -0.0330996 -0.996215 -0.0803753
522 -0.0803753 -0.996215 -0.0330996
523 -0.186621 -0.981871 -0.0331946
524 -0.120956 -0.928132 -0.352052
525 -0.259323 -0.886096 -0.384169
526 -0.11258 -0.969222 -0.218941
527 -0.218941 -0.969222 -0.11258
528 -0.384169 -0.886096 -0.259323
529 -0.352052 -0.928132 -0.120956
530 -0.443926 -0.895111 -0.0412999
531 -0.576487 -0.816057 -0.0414014
532 -0.56613 -0.704857 -0.427403
533 -0.704857 -0.56613 -0.427403
534 -0.535771 -0.799255 -0.272288
535 -0.635557 -0.760402 -0.133629
536 -0.799255 -0.535771 -0.272288
537 -0.760402 -0.635557 -0.133629
538 -0.816057 -0.576487 -0.0414014
539 -0.895111 -0.443926 -0.0412999
540 -0.886096 -0.259323 -0.384169
541 -0.928132 -0.120956 -0.352052
542 -0.886096 -0.384169 -0.259323
543 -0.928132 -0.352052 -0.120956
544 -0.969222 -0.11258 -0.218941
545 -0.969222 -0.218941 -0.11258
546 -0.981871 -0.186621 -0.0331946
547 -0.996215 -0.0803753 -0.0330996
548 -0.981871 -0.0331946 -0.186621
549 -0.996215 -0.0330996 -0.0803753
550 -0.0330996 0.0803753 -0.996215
551 -0.0331946 0.186621 -0.981871
552 -0.0803753 0.0330996 -0.996215
553 -0.186621 0.0331946 -0.981871
554 -0.0412999 0.443926 -0.895111
555 -0.0414014 0.576487 -0.816057
556 -0.11258 0.218941 -0.969222
557 -0.218941 0.11258 -0.969222
558 -0.120956 0.352052 -0.928132
559 -0.259323 0.384169 -0.886096
560 -0.352052 0.120956 -0.928132
561 -0.384169 0.259323 -0.886096
562 -0.443926 0.0412999 -0.895111
563 -0.576487 0.0414014 -0.816057
564 -0.0414014 0.816057 -0.576487
565 -0.0412999 0.895111 -0.443926
566 -0.133629 0.635557 -0.760402
567 -0.272288 0.535771 -0.799255
568 -0.133629 0.760402 -0.635557
569 -0.272288 0.799255 -0.535771
570 -0.427403 0.56613 -0.704857
571 -0.427403 0.704857 -0.56613
572 -0.535771 0.272288 -0.799255
573 -0.635557 0.133629 -0.760402
574 -0.56613 0.427403 -0.704857
575 -0.704857 0.427403 -0.56613
576 -0.760402 0.133629 -0.635557
577 -0.799255 0.272288 -0.535771
578 -0.816057 0.0414014 -0.576487
579 -0.895111 0.0412999 -0.443926
580 -0.0331946 0.981871 -0.186621
